Model_Parameters, Mean Cost, Action, Context, Probability
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01614207715411707, 39.491268157958984, [18, 18], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.016295953095911576, 38.366600036621094, [18, 19], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.016438084136871, 27.800947189331055, [19, 19], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.016537230771294445, 29.501834869384766, [19, 20], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01663797407190526, 51.85826110839844, [19, 21], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01672945058250891, 54.089908599853516, [19, 22], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.016832465019410624, 56.164363861083984, [20, 22], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.016980347229931497, 45.21687316894531, [20, 23], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.017125720546733197, 48.80868148803711, [20, 24], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.017278671440295688, 78.2694320678711, [21, 24], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.017442720232827207, 98.5250244140625, [21, 25], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.017615395955797985, 81.17829132080078, [22, 25], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.017806136064725957, 74.48768615722656, [22, 26], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01798674385475236, 85.00955200195312, [22, 27], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.018203474774394168, 12.814828872680664, [22, 28], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01841829423850783, 17.04693031311035, [23, 28], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.018616833533080974, 20.235736846923828, [24, 28], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.018802877600101804, 83.53577423095703, [24, 29], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.018974772015880752, 89.2220458984375, [24, 30], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.019127386394085854, 21.144668579101562, [25, 30], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01926715680253923, 73.21723937988281, [25, 31], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01938941448474059, 59.63625717163086, [25, 32], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.019500373470282356, 61.16173553466797, [25, 33], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.019606041461937684, 89.38953399658203, [25, 34], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.019676749081744202, 47.80305480957031, [25, 35], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.01976680656003738, 20.36298179626465, [25, 36], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.0198595209378523, 22.49350357055664, [26, 36], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.019939983426473764, 53.77499771118164, [26, 37], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02003391765948473, 15.713902473449707, [26, 38], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02012295031593184, 18.052682876586914, [26, 39], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.020214088210285378, 80.2042007446289, [26, 40], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02029375731002969, 61.36361312866211, [26, 41], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.020364548434758552, 59.578651428222656, [26, 42], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02042979859045645, 66.86341857910156, [26, 43], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02048967571558875, 72.56314849853516, [26, 44], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.020567204702170237, 23.549943923950195, [26, 45], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.020645413059050592, 72.48255157470703, [26, 46], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02072989733854038, 0.7631945610046387, [26, 47], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.020821472518029373, 52.42025375366211, [26, 48], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02091218746330551, 16.50333595275879, [27, 48], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.02100453503029555, 70.98008728027344, [28, 48], 0.4020000100135803
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.021112363328324033, 88.98323059082031, [28, 49], 0.0020000000949949026
{'Model_Parameters': {'cover': 3, 'mab_weight_epsilon': 0.2, 'mab_weight_bandwidth': 1}}, 0.021216164498796476, 70.79721069335938, [28, 50], 0.4020000100135803
